uniqueID,tires,Weight,Quarterly_Tax,Doors,CC,Automatic,Met_Color,HP,KM,Age_08_04,Price
1,1,1165,210,3,2000,0,1,90,46986,23,13500
2,1,1165,210,3,2000,0,1,90,72937,23,13750
3,1,1165,210,3,2000,0,1,90,41711,24,13950
4,1,1165,210,3,2000,0,0,90,48000,26,14950
5,1,1170,210,3,2000,0,0,90,38500,30,13750
6,1,1170,210,3,2000,0,0,90,61000,32,12950
7,1,1245,210,3,2000,0,1,90,94612,27,16900
8,1,1245,210,3,2000,0,1,90,75889,30,18600
9,1,1185,100,3,1800,0,0,192,19700,27,21500
10,1,1105,185,3,1900,0,0,69,71138,23,12950
11,1,1185,100,3,1800,0,0,192,31461,25,20950
12,1,1185,100,3,1800,0,0,192,43610,22,19950
13,1,1185,100,3,1800,0,0,192,32189,25,19600
14,1,1185,100,3,1800,0,1,192,23000,31,21500
15,1,1185,100,3,1800,0,1,192,34131,32,22500
16,1,1185,100,3,1800,0,0,192,18739,28,22000
17,1,1185,100,3,1800,0,1,192,34000,30,22750
18,1,1105,85,3,1600,0,1,110,21716,24,17950
19,1,1065,19,3,1600,0,0,110,25563,24,16750
20,1,1105,85,3,1600,0,1,110,64359,30,16950
21,1,1105,85,3,1600,0,1,110,67660,30,15950
22,1,1170,100,3,1600,1,0,110,43905,29,16950
23,1,1120,85,3,1600,0,1,110,56349,28,15950
24,1,1120,85,3,1600,0,1,110,32220,28,16950
25,1,1120,85,3,1600,0,1,110,25813,29,16250
26,1,1120,85,3,1600,0,1,110,28450,25,15950
27,1,1120,85,3,1600,0,1,110,34545,27,17495
28,1,1120,85,3,1600,0,1,110,41415,29,15750
29,1,1120,85,3,1600,0,0,110,44142,28,16950
30,1,1120,85,3,1600,0,1,110,11090,30,17950
31,1,1100,19,3,1400,0,1,97,9750,29,12950
32,1,1100,85,3,1400,0,1,97,35199,22,15750
33,1,1100,85,3,1400,0,1,97,29510,27,15950
34,1,1100,85,3,1400,0,1,97,32692,26,14950
35,1,1100,85,3,1400,0,1,97,41000,22,15500
36,1,1100,85,3,1400,0,0,97,43000,26,15750
37,1,1100,85,3,1400,0,0,97,25000,25,15950
38,1,1100,85,3,1400,0,1,97,10000,23,14950
39,1,1100,85,3,1400,0,1,97,25329,32,15750
40,1,1100,85,3,1400,0,0,97,27500,27,14750
41,1,1100,85,3,1400,0,0,97,49059,22,13950
42,1,1100,85,3,1400,0,1,97,44068,27,16750
43,1,1100,85,3,1400,0,0,97,46961,22,13950
44,1,1255,234,5,2000,0,0,90,110404,27,16950
45,1,1255,234,5,2000,0,0,90,100250,22,16950
46,1,1270,234,5,2000,0,0,90,84000,23,19000
47,1,1255,234,5,2000,0,1,90,79375,27,17950
48,1,1110,85,5,1400,0,1,97,75048,22,15800
49,1,1255,234,5,2000,0,1,90,72215,22,17950
50,1,1195,100,5,1800,0,1,192,64982,31,21950
51,1,1255,234,5,2000,0,1,90,62636,22,17950
52,1,1110,85,5,1400,0,1,97,57086,30,15750
53,1,1180,100,5,1600,1,1,110,56000,26,20500
54,1,1195,100,5,1800,0,1,192,49866,27,21950
55,1,1165,100,5,1600,1,0,110,49163,25,15500
56,1,1075,85,5,1600,0,1,110,45725,32,13250
57,1,1110,85,5,1400,0,0,97,43210,28,15250
58,1,1110,85,5,1400,0,0,97,43000,26,15250
59,1,1180,100,5,1600,1,1,110,39704,23,18950
60,1,1130,85,5,1600,0,1,110,38950,30,15999
61,1,1110,85,5,1400,0,1,97,37400,22,14950
62,1,1130,85,5,1600,0,0,110,37177,27,16500
63,1,1130,85,5,1600,0,1,110,36544,31,18750
64,1,1130,85,5,1600,0,1,110,33511,30,17950
65,1,1110,85,5,1400,0,1,97,32809,27,17950
66,1,1075,19,5,1600,0,1,110,32181,26,16950
67,1,1130,85,5,1600,0,1,110,30993,28,18950
68,1,1110,85,5,1400,0,1,97,30400,22,14950
69,1,1275,234,5,2000,0,1,110,30000,22,22250
70,1,1110,85,5,1400,0,1,97,29719,25,15950
71,1,1110,85,5,1400,0,1,97,29206,28,15950
72,1,1060,85,5,1400,0,1,97,29198,32,12995
73,1,1130,85,5,1598,0,1,110,28817,28,18950
74,1,1110,85,5,1400,0,1,97,28227,23,15750
75,1,1130,85,5,1600,0,0,110,28000,28,19950
76,1,1115,85,5,1600,0,1,110,28000,23,16950
77,1,1130,85,5,1600,0,1,110,25266,31,18750
78,1,1115,85,5,1600,0,0,110,23489,27,18450
79,1,1115,85,5,1600,0,1,110,22575,29,16895
80,1,1110,85,5,1400,0,1,97,22000,30,14900
81,1,1180,100,5,16000,1,1,110,20019,25,18950
82,1,1115,85,5,1600,0,1,110,20000,29,17250
83,1,1110,85,5,1400,0,1,97,17003,25,15450
84,1,1180,100,5,1600,1,1,110,16238,31,17950
85,1,1110,85,5,1400,0,1,97,15414,25,16650
86,1,1130,85,5,1600,0,1,110,8537,28,17450
87,1,1100,85,5,1400,0,1,97,7000,30,14900
88,1,1245,210,3,2000,0,1,90,66966,20,17950
89,1,1100,85,3,1400,0,1,97,51884,19,15950
90,1,1265,234,3,2000,0,1,110,50005,19,21950
91,1,1100,85,3,1400,0,1,97,48110,20,16450
92,1,1260,234,3,2000,0,1,90,37500,20,22250
93,1,1260,234,3,1995,0,1,90,34472,16,19950
94,1,1100,85,3,1400,0,1,97,33329,20,15950
95,1,1120,85,3,1600,0,0,110,31850,20,18900
96,1,1260,234,3,1995,0,1,90,30351,17,19950
97,1,1100,85,3,1400,0,1,97,29435,19,15950
98,1,1100,85,3,1400,0,1,97,25948,19,15950
99,1,1120,85,3,1600,0,1,110,24500,11,18750
100,1,1100,85,3,1400,0,1,97,23902,18,17450
101,1,1120,85,3,1600,0,1,110,23175,20,18990
102,1,1100,85,3,1400,0,1,97,19200,19,16250
103,1,1125,85,3,1400,0,0,71,18000,13,18500
104,1,1105,85,3,1600,0,1,110,16123,11,18500
105,1,1155,100,3,1600,1,1,110,14635,11,19450
106,1,1100,85,3,1400,0,1,97,13748,19,16950
107,1,1045,69,3,1600,0,1,110,11500,14,18800
108,1,1100,85,3,1400,0,1,97,10000,17,17450
109,1,1105,85,3,1600,0,1,110,7187,20,17950
110,1,1480,283,5,2000,0,0,116,1,4,32500
111,1,1480,283,5,2000,0,1,116,4000,4,31000
112,1,1480,283,5,2000,0,1,116,1500,4,31275
113,1,1320,234,5,2000,0,1,116,13253,8,24950
114,1,1320,234,5,2000,0,1,116,13253,8,24950
115,1,1270,234,5,2000,0,1,116,10000,7,22950
116,1,1280,234,5,2000,0,1,90,6000,8,24990
117,1,1270,234,5,2000,0,1,90,10841,8,21950
118,1,1105,85,3,1600,0,1,110,1,7,17900
119,1,1255,234,5,2000,0,1,90,63000,20,19250
120,1,1275,234,5,2000,0,1,110,57313,17,22250
121,1,1115,85,5,1600,0,0,110,57037,13,18950
122,1,1255,234,5,2000,0,1,90,51099,19,19950
123,1,1115,85,5,1600,0,1,110,40010,14,16350
124,1,1130,85,5,1600,0,1,110,39115,20,18950
125,1,1130,85,5,1600,0,0,110,36012,17,16950
126,1,1130,85,5,1600,0,1,110,36000,16,21750
127,1,1075,19,5,1600,0,1,110,36000,20,15950
128,1,1110,85,5,1400,0,1,97,35000,20,16500
129,1,1135,85,5,1400,0,1,97,33740,17,17950
130,1,1075,19,5,1600,0,1,110,33477,13,15850
131,1,1110,85,5,1400,0,1,97,32627,20,16250
132,1,1110,85,5,1400,0,1,97,29797,20,15950
133,1,1110,85,5,1400,0,1,97,29441,19,16250
134,1,1105,19,4,1600,0,1,110,29371,13,15950
135,1,1110,85,5,1400,0,0,97,29000,20,16500
136,1,1110,85,5,1400,0,0,97,27821,19,16500
137,1,1135,85,5,1400,0,0,97,27371,19,18450
138,1,1105,19,5,1600,0,1,110,25170,13,16250
